Date,Open,High,Low,Close,Adj Close,Volume
2023-08-17,5.970000,6.010000,5.560000,5.570000,5.570000,6109400
2023-08-18,5.500000,5.830000,5.472000,5.790000,5.790000,5721100
2023-08-21,5.810000,5.945000,5.680000,5.810000,5.810000,4599200
2023-08-22,5.970000,6.049000,5.690000,5.790000,5.790000,3524000
2023-08-23,5.740000,5.910000,5.720000,5.810000,5.810000,4407500
2023-08-24,5.840000,5.860000,5.430000,5.520000,5.520000,6085900
2023-08-25,5.540000,5.730000,5.530000,5.570000,5.570000,2967500
2023-08-28,5.610000,5.720000,5.565000,5.690000,5.690000,3707200
2023-08-29,5.630000,6.230000,5.580000,6.080000,6.080000,8863300
2023-08-30,6.090000,6.090000,5.915000,5.980000,5.980000,4262500
2023-08-31,5.990000,6.010000,5.720000,5.760000,5.760000,4966100
2023-09-01,5.840000,5.940000,5.745000,5.870000,5.870000,4397600
2023-09-05,5.860000,5.946000,5.770000,5.870000,5.870000,3596500
2023-09-06,5.860000,5.919000,5.450000,5.620000,5.620000,7276900
2023-09-07,5.460000,5.470000,5.310000,5.420000,5.420000,4653400
2023-09-08,5.430000,5.450000,5.300000,5.330000,5.330000,3521300
2023-09-11,5.390000,5.480000,5.290000,5.290000,5.290000,3557100
2023-09-12,5.250000,5.470000,5.185000,5.320000,5.320000,4063700
2023-09-13,5.300000,5.340000,5.170000,5.180000,5.180000,3293400
2023-09-14,5.220000,5.270000,5.041000,5.110000,5.110000,5372400
2023-09-15,5.090000,5.260000,5.060000,5.110000,5.110000,5025400
2023-09-18,5.120000,5.198000,4.940000,4.960000,4.960000,4072900
2023-09-19,4.940000,5.075000,4.890000,4.910000,4.910000,3949100
2023-09-20,4.940000,5.000000,4.730000,4.740000,4.740000,3578800
2023-09-21,4.590000,4.630000,4.430000,4.450000,4.450000,5533000
2023-09-22,4.490000,4.569000,4.400000,4.450000,4.450000,4717700
2023-09-25,4.390000,4.470000,4.290000,4.320000,4.320000,4127200
2023-09-26,4.290000,4.320000,4.000000,4.010000,4.010000,7357400
2023-09-27,4.080000,4.300000,4.080000,4.230000,4.230000,6885200
2023-09-28,4.250000,4.511000,4.205000,4.390000,4.390000,6044600
2023-09-29,4.500000,4.620000,4.424000,4.550000,4.550000,4242300
2023-10-02,4.560000,4.570000,4.390000,4.470000,4.470000,3318900
2023-10-03,4.310000,4.374000,4.255000,4.260000,4.260000,4252200
2023-10-04,4.250000,4.390000,4.220000,4.380000,4.380000,3002700
2023-10-05,4.350000,4.360000,4.170000,4.250000,4.250000,3604000
2023-10-06,4.160000,4.380000,4.160000,4.300000,4.300000,4502600
2023-10-09,4.200000,4.250000,4.018000,4.130000,4.130000,3634900
2023-10-10,4.140000,4.415000,4.140000,4.360000,4.360000,4084100
2023-10-11,4.420000,4.470000,4.210000,4.240000,4.240000,2898700
2023-10-12,4.250000,4.270000,4.020000,4.110000,4.110000,4069600
2023-10-13,4.040000,4.120000,3.945000,4.120000,4.120000,4682300
2023-10-16,4.110000,4.230000,4.091000,4.180000,4.180000,2499900
2023-10-17,4.080000,4.290000,4.070000,4.140000,4.140000,2912000
2023-10-18,4.090000,4.090000,3.860000,3.900000,3.900000,5080900
2023-10-19,3.920000,3.920000,3.650000,3.670000,3.670000,5548400
2023-10-20,3.660000,3.760000,3.575000,3.680000,3.680000,3605000
2023-10-23,3.620000,3.866000,3.530000,3.720000,3.720000,3196300
2023-10-24,3.800000,3.930000,3.720000,3.740000,3.740000,4110300
2023-10-25,3.680000,3.700000,3.360000,3.370000,3.370000,5153000
2023-10-26,3.380000,3.515000,3.380000,3.510000,3.510000,4573000
2023-10-27,3.530000,3.570000,3.280000,3.310000,3.310000,3950500
2023-10-30,3.360000,3.400000,3.030000,3.080000,3.080000,7835900
2023-10-31,3.080000,3.200000,3.050000,3.170000,3.170000,4086200
2023-11-01,3.180000,3.195000,3.100000,3.150000,3.150000,3820500
2023-11-02,3.300000,3.540000,3.280000,3.430000,3.430000,4988100
2023-11-03,3.570000,3.977000,3.565000,3.690000,3.690000,7369300
2023-11-06,3.990000,3.990000,3.430000,3.580000,3.580000,7202700
2023-11-07,3.570000,3.610000,3.450000,3.560000,3.560000,3086800
2023-11-08,3.660000,3.755000,3.500000,3.680000,3.680000,4740700
2023-11-09,3.380000,3.390000,3.010000,3.130000,3.130000,9911200
2023-11-10,3.180000,3.260000,3.051000,3.180000,3.180000,5050700
2023-11-13,3.200000,3.220000,3.010000,3.020000,3.020000,4772200
2023-11-14,3.170000,3.230000,2.710000,2.940000,2.940000,16131900
2023-11-15,2.980000,3.510000,2.950000,3.330000,3.330000,11794300
2023-11-16,3.300000,3.300000,2.690000,2.740000,2.740000,14032200
2023-11-17,2.810000,2.920000,2.650000,2.880000,2.880000,9612500
2023-11-20,2.880000,2.970000,2.760000,2.830000,2.830000,7527300
2023-11-21,2.810000,2.810000,2.610000,2.620000,2.620000,8009400
2023-11-22,2.660000,2.790000,2.630000,2.720000,2.720000,5436800
2023-11-24,2.730000,2.790000,2.620000,2.740000,2.740000,3028000
2023-11-27,2.690000,2.720000,2.600000,2.630000,2.630000,8956700
2023-11-28,2.610000,2.620000,2.360000,2.410000,2.410000,11415100
2023-11-29,2.450000,2.645000,2.430000,2.435000,2.435000,5760000
2023-11-30,2.470000,2.510000,2.370000,2.500000,2.500000,6539400
2023-12-01,2.480000,2.620000,2.404000,2.460000,2.460000,7962900
2023-12-04,2.460000,2.680000,2.440000,2.540000,2.540000,7572600
2023-12-05,2.510000,2.610000,2.450000,2.480000,2.480000,4199500
2023-12-06,2.540000,2.680000,2.490000,2.590000,2.590000,8148700
2023-12-07,2.570000,2.580000,2.400000,2.410000,2.410000,8761000
2023-12-08,2.420000,2.460000,2.330000,2.370000,2.370000,8880800
2023-12-11,2.370000,2.470000,2.300000,2.470000,2.470000,7152600
2023-12-12,2.460000,2.490000,2.360000,2.460000,2.460000,6275200
